date,last,bid,ask
4/2/2020,2526.9,2471.25,2601.75
4/1/2020,2470.5,2426.7,2613.52
3/31/2020,2584.59,2535.83,2896.37
3/30/2020,2626.65,2563.92,3217.08
3/27/2020,2541.47,2489.36,2631.21
3/26/2020,2630.07,2570.77,2749.3
3/25/2020,2475.56,2417.42,2750.57
3/24/2020,2447.33,2375.14,2587.82
3/23/2020,2237.4,2183.44,2388.1
3/20/2020,2304.92,2243.68,2677.6
3/19/2020,2409.39,2319.45,2846.61
3/18/2020,2398.1,2308.72,2822.45
3/17/2020,2529.19,2432,2530.83
3/16/2020,2386.13,2350.58,2549.63
3/13/2020,2711.02,2606.34,2806.25
3/12/2020,2480.64,2388.67,2559.34
3/11/2020,2741.38,2692.91,2972.56
3/10/2020,2882.23,2785.5,3013.53
3/9/2020,2746.56,2686.54,2892
3/6/2020,2972.37,2916.88,3016.2
3/5/2020,3023.94,2976.57,3089.56
3/4/2020,3130.12,3051.42,3161.77
3/3/2020,3003.37,2948.14,3075.56
3/2/2020,3090.23,3008.26,3119.57
2/28/2020,2954.22,2943.24,3041.04
2/27/2020,2978.76,2922.21,3033.2
2/26/2020,3116.39,3062.44,3180.3
2/25/2020,3128.21,3098.01,3201.05
2/24/2020,3225.89,3195.22,3280.68
2/21/2020,3337.75,3290.86,3387.64
2/20/2020,3373.23,3329.52,3410.79
2/19/2020,3386.15,3343.98,3443.39
2/18/2020,3370.29,3333.83,3423.23
2/14/2020,3380.16,3344.52,3429.09
2/13/2020,3373.94,3332.51,3433.21
2/12/2020,3379.45,3340.05,3425.91
2/11/2020,3357.75,3329.92,3397.72
2/10/2020,3352.09,3309.21,3388.65
2/7/2020,3327.71,3291.72,3368.69
2/6/2020,3345.78,3298.32,3393.97
2/5/2020,3334.69,3283.21,3388.09
2/4/2020,3297.59,3251,3355.56
2/3/2020,3248.92,3199.72,3295.45
1/31/2020,3225.52,3189.86,3282.68
1/30/2020,3283.66,3256.97,3344.68
1/29/2020,3273.4,3229.45,3320.84
1/28/2020,3276.24,3233.9,3336.87
1/27/2020,3243.63,3206.57,3289.93
1/24/2020,3295.47,3255.15,3345.25
1/23/2020,3325.54,3283.48,3368.18
1/22/2020,3321.75,3282,3368.7
1/21/2020,3320.79,3279.88,3377.97
1/17/2020,3329.62,3288.94,3376.39
1/16/2020,3316.81,3275.71,3362.83
1/15/2020,3289.29,3254.98,3332.88
1/14/2020,3283.15,3247.95,3331.86
1/13/2020,3288.13,3253.07,3330.13
1/10/2020,3265.35,3231.17,3308.59
1/9/2020,3274.7,3241.16,3324.49
1/8/2020,3253.05,3218.63,3306.61
1/7/2020,3237.18,3194.12,3274.85
1/6/2020,3246.28,3207.28,3290.25
1/3/2020,3234.85,3196.94,3277.77
1/2/2020,3257.85,3215.2,3305.77
12/31/2019,3230.78,3197.87,3275.77
12/30/2019,3221.29,3184.66,3261.64
12/27/2019,3240.02,3203.96,3284.9
12/26/2019,3239.91,3199.72,3285.54
12/24/2019,3223.38,3188.23,3256.68
12/23/2019,3224.01,3189.81,3271.77
12/20/2019,3221.22,3190.23,3265.47
12/19/2019,3205.37,3169.8,3247.18
12/18/2019,3191.14,3150.28,3234.67
12/17/2019,3192.52,3151.81,3237.21
12/16/2019,3191.45,3155.31,3233.22
12/13/2019,3168.8,3133.75,3209.69
12/12/2019,3168.57,3116.16,3212.9
12/11/2019,3141.63,3099.32,3189.11
12/10/2019,3132.52,3100.61,3176.26
12/9/2019,3135.96,3088.38,3177.26
12/6/2019,3145.91,3113.42,3190.68
12/5/2019,3117.43,3077.59,3158.36
12/4/2019,3112.76,3076.42,3153.45
12/3/2019,3093.2,3054.6,3133.41
12/2/2019,3113.87,3077.53,3148.71
11/29/2019,3140.98,3112.13,3184.93
11/27/2019,3153.63,3118.62,3185.71
11/26/2019,3140.52,3101.74,3179.15
11/25/2019,3133.64,3095.61,3170.35
11/22/2019,3110.29,3070.09,3146.92
11/21/2019,3103.54,3064.75,3143.73
11/20/2019,3108.46,3075.22,3139.06
11/19/2019,3120.18,3075.51,3157.9
11/18/2019,3122.03,3080.79,3160.33
11/15/2019,3120.46,3082.43,3156.66
11/14/2019,3096.63,3048.54,3138.26
11/13/2019,3094.04,3049.97,3133.69
11/12/2019,3091.84,3044.09,3127.46
11/11/2019,3087.01,3050.78,3131.09
11/8/2019,3093.08,3056.16,3124.69
11/7/2019,3085.18,3044.39,3126.96
11/6/2019,3076.78,3032.98,3115.27
11/5/2019,3074.62,3032.24,3114.6
11/4/2019,3078.27,3039.23,3114.38
11/1/2019,3066.91,3029.89,3103.34
10/31/2019,3037.56,2986.63,3078.05
10/30/2019,3046.77,2999.48,3094.35
10/29/2019,3036.89,2992.02,3079.07
10/28/2019,3039.42,2993.28,3080.97
10/25/2019,3022.55,2985.62,3058.98
10/24/2019,3010.29,2960.59,3041.63
10/23/2019,3004.52,2957.87,3045.94
10/22/2019,2995.99,2942.85,3038.67
10/21/2019,3006.72,2966.23,3050.66
10/18/2019,2986.2,2944.25,3032.28
10/17/2019,2997.95,2965.06,3042.04
10/16/2019,2989.69,2943.77,3032.99
10/15/2019,2995.68,2955.82,3034.26
10/14/2019,2966.15,2929.7,3005.11
10/11/2019,2970.27,2921.2,3017.48
10/10/2019,2938.13,2900.32,2993.04
10/9/2019,2919.4,2880.66,2965.12
10/8/2019,2893.06,2851.69,2946.25
10/7/2019,2938.79,2893.79,2989.62
10/4/2019,2952.01,2896.25,2998.92
10/3/2019,2910.63,2854.92,2960.96
10/2/2019,2887.61,2832.04,2939.18
10/1/2019,2940.25,2905.99,2984.33
9/30/2019,2976.74,2950.08,3018.84
9/27/2019,2961.79,2932.53,3011.17
9/26/2019,2977.62,2936.24,3016.73
9/25/2019,2984.87,2948.69,3025.95
9/24/2019,2966.6,2927.32,3010.1
9/23/2019,2991.78,2974.6,3040.76
9/20/2019,2992.07,2942.61,3032.89
9/19/2019,3006.79,2963.36,3046.13
9/18/2019,3006.73,2964.08,3048.21
9/17/2019,3005.7,2962.96,3045.09
9/16/2019,2997.96,2955.99,3041.44
9/13/2019,3007.39,2957.45,3049.34
9/12/2019,3009.57,2961.67,3050.61
9/11/2019,3000.93,2953.12,3038.96
9/10/2019,2979.39,2931.14,3026.8
9/9/2019,2978.43,2937.41,3021.06
9/6/2019,2978.71,2944.25,3030.14
9/5/2019,2976,2917.72,3012.22
9/4/2019,2937.78,2898.42,2979.94
9/3/2019,2906.27,2866.15,2949.8
8/30/2019,2926.46,2883.28,2958.89
8/29/2019,2924.58,2880.3,2965.32
8/28/2019,2887.94,2830.7,2936
8/27/2019,2869.16,2818.91,2919.13
8/26/2019,2878.38,2841.45,2927.22
8/23/2019,2847.11,2802.01,2911.65
8/22/2019,2922.95,2880.91,2973.56
8/21/2019,2924.43,2889.66,2956.84
8/20/2019,2900.51,2857.24,2930.59
8/19/2019,2923.65,2879.3,2952.03
8/16/2019,2888.68,2857.9,2913.62
8/15/2019,2847.6,2808.61,2882.18
8/14/2019,2840.6,2804.48,2878.43
8/13/2019,2926.32,2883.25,2962.03
8/12/2019,2883.75,2866.85,2895.13
8/9/2019,2918.65,2882.63,2949.09
8/8/2019,2938.09,2887.4,2967.81
8/7/2019,2883.98,2837.39,2917.1
8/6/2019,2881.77,2836.55,2908.84
8/5/2019,2844.74,2791.7,2870.93
8/2/2019,2932.05,2892.14,2971.36
8/1/2019,2953.56,2911.49,2984.11
7/31/2019,2980.38,2941.62,3000.55
7/30/2019,3013.18,2983.37,3037.93
7/29/2019,3020.97,2994.28,3038.93
7/26/2019,3025.86,2992.83,3043.83
7/25/2019,3003.67,2971.59,3031.99
7/24/2019,3019.56,2978.41,3033.13
7/23/2019,3005.47,2963.31,3023.52
7/22/2019,2985.03,2960.65,3005.3
7/19/2019,2976.61,2940.45,2992.61
7/18/2019,2995.11,2962.06,3027.79
7/17/2019,2984.42,2940.23,2999.7
7/16/2019,3004.04,2968.39,3020.31
7/15/2019,3014.3,2985.21,3032.48
7/12/2019,3013.77,2983.77,3029.08
7/11/2019,2999.91,2971.85,3014.5
7/10/2019,2993.07,2966.45,3011.36
7/9/2019,2979.63,2948.85,2999.51
7/8/2019,2975.95,2947.38,2992.53
7/5/2019,2990.41,2959.1,3006.63
7/3/2019,2995.82,2949.14,3015.73
7/2/2019,2973.01,2945.02,2995.51
7/1/2019,2964.33,2933.25,2984.9
6/28/2019,2941.76,2911.55,2963.06
6/27/2019,2924.92,2884.56,2959.48
6/26/2019,2913.78,2881.27,2934.23
6/25/2019,2917.38,2893.75,2943.47
6/24/2019,2945.35,2919.32,2964.79
6/21/2019,2950.46,2905.61,2973.38
6/20/2019,2954.18,2924.22,2970.87
6/19/2019,2926.46,2899.87,2950.22
6/18/2019,2917.75,2889.62,2939.4
6/17/2019,2889.67,2862.83,2910.01
6/14/2019,2886.98,2857.04,2906.28
6/13/2019,2891.64,2862.78,2907.41
6/12/2019,2879.84,2851.69,2898.75
6/11/2019,2885.72,2849.38,2903.92
6/10/2019,2886.73,2856.96,2909.6
6/7/2019,2873.34,2842.81,2893.58
6/6/2019,2843.49,2784.67,2874.68
6/5/2019,2826.15,2789.11,2851.68
6/4/2019,2803.27,2771.56,2830.96
6/3/2019,2744.45,2718.83,2784.71
5/31/2019,2752.06,2724.58,2778.3
5/30/2019,2788.86,2760.13,2817.04
5/29/2019,2783.02,2756.63,2806.62
5/28/2019,2802.39,2778.11,2830.28
5/24/2019,2826.06,2805.42,2850.12
5/23/2019,2822.24,2790.69,2848.84
5/22/2019,2856.27,2829.05,2876.54
5/21/2019,2864.36,2833.48,2887.65
5/20/2019,2840.23,2821.21,2865.41
5/17/2019,2859.53,2826.61,2884.22
5/16/2019,2876.32,2841.05,2902.71
5/15/2019,2850.96,2822.14,2875.75
5/14/2019,2834.41,2806.05,2862.72
5/13/2019,2811.87,2774.13,2836.67
5/10/2019,2881.4,2856.41,2901.86
5/9/2019,2870.72,2825.76,2905.74
5/8/2019,2879.42,2853.98,2905.63
5/7/2019,2884.05,2860.22,2911.84
5/6/2019,2932.47,2882.57,2948.82
5/3/2019,2945.64,2917.96,2962.75
5/2/2019,2917.52,2882.22,2939.21
5/1/2019,2923.73,2880.72,2946.65
4/30/2019,2945.83,2916.76,2973.19
4/29/2019,2943.03,2902.45,2953.2
4/26/2019,2939.88,2910.34,2955.15
4/25/2019,2926.17,2890.24,2944.23
4/24/2019,2927.25,2900.41,2950.7
4/23/2019,2933.68,2904.86,2953.74
4/22/2019,2907.97,2882.87,2930.48
4/18/2019,2905.03,2884.43,2921.9
4/17/2019,2900.45,2869.14,2917.53
4/16/2019,2907.06,2881.73,2923.23
4/15/2019,2905.58,2884.48,2919.19
4/12/2019,2907.41,2880.46,2922.51
4/11/2019,2888.32,2856.31,2908.68
4/10/2019,2888.21,2858.85,2906.43
4/9/2019,2878.2,2848.02,2897.14
4/8/2019,2895.77,2868.54,2912.87
4/5/2019,2892.74,2862.34,2908.13
4/4/2019,2879.39,2849.73,2899.21
4/3/2019,2873.4,2848.13,2896.52
4/2/2019,2867.24,2835.02,2883.8
4/1/2019,2867.19,2833.93,2883.68
3/29/2019,2834.4,2805.34,2854.91
3/28/2019,2815.44,2786.55,2838.3
3/27/2019,2805.37,2772.37,2829.62
3/26/2019,2818.46,2776.29,2841.35
3/25/2019,2798.36,2772.65,2832.87
3/22/2019,2800.71,2776.15,2832.56
3/21/2019,2854.88,2820.53,2876.85
3/20/2019,2824.23,2792.33,2848.05
3/19/2019,2832.57,2792.1,2857.87
3/18/2019,2832.94,2793.41,2862.38
3/15/2019,2822.48,2789.65,2842.43
3/14/2019,2808.48,2762.6,2828.06
3/13/2019,2810.92,2776.31,2838.53
3/12/2019,2791.52,2748.06,2816.57
3/11/2019,2783.3,2747.82,2807.07
3/8/2019,2743.07,2711.88,2772.8
3/7/2019,2748.93,2715.43,2780.26
3/6/2019,2771.45,2742.46,2795.45
3/5/2019,2789.65,2755.2,2813.45
3/4/2019,2792.81,2744.75,2817.14
3/1/2019,2803.69,2765.79,2828.31
2/28/2019,2784.49,2755.89,2809.87
2/27/2019,2792.38,2758.55,2815.73
2/26/2019,2793.9,2758.95,2809.67
2/25/2019,2796.11,2763.69,2815.49
2/22/2019,2792.67,2757.1,2810.54
2/21/2019,2774.88,2738.03,2791.52
2/20/2019,2784.7,2748.32,2806.87
2/19/2019,2779.76,2746.09,2801.16
2/15/2019,2775.6,2735.34,2794.2
2/14/2019,2745.73,2711.31,2769.97
2/13/2019,2753.03,2718.77,2776.66
2/12/2019,2744.73,2713.41,2767.26
2/11/2019,2709.8,2671.3,2730.05
2/8/2019,2707.88,2671.06,2729.02
2/7/2019,2706.05,2671.59,2727.48
2/6/2019,2731.61,2699.88,2751.25
2/5/2019,2737.7,2695.91,2755.92
2/4/2019,2724.87,2689.62,2741.57
2/1/2019,2706.53,2669.3,2732.61
